Origin,Destination,Shipment Date,Vehicle Type,Distance (km),Weather Conditions,Traffic Conditions,Delayed,Delivery Difference (Days)
Jaipur,Mumbai,2023-04-26,Trailer,1603,Rain,Light,1,1
Bangalore,Delhi,2023-02-09,Trailer,1237,Storm,Moderate,1,4
Mumbai,Chennai,2023-09-19,Truck,1863,Clear,Light,0,0
Hyderabad,Ahmedabad,2023-04-01,Container,1374,Clear,Light,0,0
Chennai,Kolkata,2023-11-24,Container,676,Clear,Heavy,1,2
Chennai,Ahmedabad,2024-03-14,Container,746,Storm,Light,1,3
Bangalore,Lucknow,2024-05-28,Lorry,1988,Fog,Light,1,7
Kolkata,Mumbai,2023-04-01,Container,1521,Rain,Moderate,1,2
Kolkata,Bangalore,2023-10-01,Truck,390,Rain,Light,1,1
Lucknow,Ahmedabad,2023-03-08,Trailer,324,Clear,Light,0,0
Delhi,Ahmedabad,2023-07-19,Trailer,1679,Rain,Light,1,1
Ahmedabad,Delhi,2023-04-03,Trailer,1823,Rain,Moderate,1,4
Mumbai,Kolkata,2023-06-12,Truck,520,Clear,Moderate,1,5
Hyderabad,Ahmedabad,2023-11-12,Container,1456,Clear,Heavy,1,2
Hyderabad,Mumbai,2023-09-15,Lorry,778,Clear,Light,0,0
Pune,Kolkata,2024-05-16,Truck,1671,Clear,Moderate,1,5
Chennai,Bangalore,2023-07-28,Truck,1624,Clear,Moderate,1,1
Lucknow,Pune,2023-11-28,Truck,314,Clear,Light,0,0
Jaipur,Mumbai,2023-09-03,Truck,362,Fog,Moderate,1,3
Pune,Lucknow,2024-02-02,Lorry,1691,Rain,Light,1,1
Chennai,Jaipur,2024-04-12,Container,999,Clear,Light,0,0
Lucknow,Pune,2023-11-13,Truck,1831,Clear,Light,0,0
Jaipur,Chennai,2023-06-24,Lorry,1522,Clear,Light,0,0
Jaipur,Ahmedabad,2023-05-04,Truck,1885,Rain,Light,1,1
Jaipur,Ahmedabad,2023-12-20,Truck,935,Clear,Light,0,0
Delhi,Chennai,2023-11-30,Lorry,531,Rain,Moderate,1,2
Kolkata,Chennai,2023-05-22,Container,1328,Clear,Light,0,0
Hyderabad,Pune,2023-10-31,Trailer,1768,Clear,Heavy,1,2
Pune,Chennai,2023-08-19,Container,1997,Clear,Light,0,0
Ahmedabad,Kolkata,2023-08-12,Lorry,215,Clear,Light,0,0
Hyderabad,Pune,2023-08-19,Trailer,1568,Rain,Heavy,1,3
Jaipur,Ahmedabad,2024-04-13,Lorry,227,Clear,Light,0,0
Ahmedabad,Hyderabad,2023-05-05,Lorry,1621,Rain,Heavy,1,3
Ahmedabad,Mumbai,2024-04-19,Truck,1582,Clear,Light,1,2
Pune,Chennai,2023-10-05,Lorry,806,Clear,Light,0,0
Mumbai,Delhi,2023-01-03,Trailer,291,Clear,Light,1,5
Chennai,Kolkata,2023-10-10,Lorry,785,Fog,Light,1,2
Lucknow,Chennai,2023-11-23,Truck,1886,Clear,Light,0,0
Pune,Mumbai,2023-07-24,Trailer,961,Clear,Light,0,0
Delhi,Jaipur,2024-02-09,Trailer,1968,Clear,Light,1,3
Chennai,Pune,2023-05-31,Lorry,333,Clear,Light,1,3
Chennai,Pune,2023-06-07,Trailer,1513,Clear,Heavy,1,2
Ahmedabad,Kolkata,2023-12-25,Lorry,1228,Clear,Moderate,1,1
Kolkata,Mumbai,2023-06-19,Lorry,872,Rain,Heavy,1,3
Mumbai,Jaipur,2023-11-28,Container,812,Clear,Light,0,0
Ahmedabad,Delhi,2024-04-13,Container,1244,Clear,Light,1,2
Mumbai,Ahmedabad,2023-11-29,Truck,355,Clear,Moderate,1,1
Mumbai,Jaipur,2024-05-17,Container,1193,Clear,Light,0,0
Pune,Ahmedabad,2023-08-07,Truck,1317,Clear,Moderate,1,1
Hyderabad,Bangalore,2023-05-08,Trailer,1969,Fog,Light,1,2
Jaipur,Lucknow,2023-02-23,Truck,952,Clear,Light,0,0
Chennai,Delhi,2024-03-25,Lorry,604,Clear,Moderate,1,1
Kolkata,Bangalore,2024-01-29,Truck,1174,Clear,Light,0,0
Lucknow,Hyderabad,2023-02-26,Trailer,362,Clear,Light,0,0
Delhi,Kolkata,2023-02-28,Container,1005,Clear,Moderate,1,1
Bangalore,Chennai,2023-03-05,Container,1250,Clear,Light,1,3
Hyderabad,Pune,2023-10-27,Truck,1286,Fog,Light,1,2
Kolkata,Jaipur,2023-07-31,Container,1521,Fog,Light,1,7
Chennai,Mumbai,2024-04-01,Lorry,921,Fog,Light,1,2
Ahmedabad,Kolkata,2024-03-02,Lorry,1413,Rain,Light,1,1
Lucknow,Bangalore,2023-03-10,Lorry,554,Clear,Moderate,1,1
Chennai,Pune,2023-01-27,Lorry,523,Clear,Light,1,3
Jaipur,Mumbai,2023-09-01,Container,1367,Clear,Moderate,1,1
Chennai,Delhi,2023-08-03,Trailer,1677,Rain,Light,1,5
Hyderabad,Lucknow,2024-03-30,Container,458,Clear,Light,0,0
Delhi,Kolkata,2023-12-11,Container,496,Clear,Moderate,1,3
Lucknow,Pune,2024-05-08,Container,455,Clear,Light,1,4
Bangalore,Kolkata,2023-07-06,Truck,550,Clear,Light,1,2
Lucknow,Kolkata,2023-01-14,Container,1718,Clear,Moderate,1,1
Chennai,Hyderabad,2023-08-23,Trailer,617,Clear,Moderate,1,1
Chennai,Bangalore,2023-12-05,Container,879,Clear,Heavy,1,4
Lucknow,Mumbai,2023-12-25,Lorry,683,Clear,Moderate,1,1
Lucknow,Ahmedabad,2023-01-05,Lorry,629,Clear,Moderate,1,1
Hyderabad,Delhi,2023-12-20,Lorry,1085,Clear,Light,0,0
Mumbai,Delhi,2024-03-04,Truck,1244,Storm,Moderate,1,4
Mumbai,Chennai,2023-11-14,Trailer,1618,Rain,Light,1,1
Delhi,Kolkata,2023-07-01,Container,1154,Clear,Moderate,1,1
Kolkata,Bangalore,2023-04-07,Lorry,1880,Rain,Moderate,1,2
Mumbai,Hyderabad,2023-09-23,Container,336,Clear,Light,0,0
Pune,Jaipur,2023-10-06,Lorry,1849,Clear,Moderate,1,6
Jaipur,Ahmedabad,2024-02-24,Truck,421,Rain,Moderate,1,2
Ahmedabad,Bangalore,2023-12-26,Truck,725,Clear,Moderate,1,3
Mumbai,Chennai,2023-09-26,Truck,1293,Clear,Light,1,2
Chennai,Lucknow,2023-05-06,Lorry,1848,Fog,Light,1,2
Jaipur,Kolkata,2023-12-22,Trailer,1353,Clear,Light,1,2
Ahmedabad,Bangalore,2024-04-01,Trailer,564,Clear,Light,0,0
Kolkata,Jaipur,2023-09-25,Trailer,1814,Clear,Light,0,0
Lucknow,Delhi,2023-07-18,Truck,408,Fog,Light,1,7
Bangalore,Kolkata,2024-04-07,Trailer,587,Clear,Light,0,0
Chennai,Jaipur,2023-04-01,Container,1017,Clear,Moderate,1,1
Bangalore,Lucknow,2024-03-10,Truck,627,Rain,Moderate,1,5
Mumbai,Kolkata,2023-03-26,Truck,602,Clear,Light,1,5
Pune,Delhi,2023-04-24,Trailer,520,Clear,Light,1,3
Jaipur,Bangalore,2023-11-17,Lorry,1382,Clear,Heavy,1,2
Pune,Hyderabad,2023-04-28,Lorry,518,Clear,Heavy,1,4
Delhi,Pune,2024-03-09,Trailer,1585,Fog,Light,1,2
Mumbai,Lucknow,2023-12-22,Container,1861,Clear,Light,1,2
Chennai,Hyderabad,2023-03-03,Truck,232,Fog,Light,1,2
Hyderabad,Mumbai,2023-05-02,Container,1040,Fog,Heavy,1,4
Mumbai,Ahmedabad,2023-11-21,Container,1414,Storm,Moderate,1,4
Jaipur,Ahmedabad,2023-10-28,Trailer,1708,Clear,Heavy,1,2
Ahmedabad,Bangalore,2024-02-28,Trailer,1839,Clear,Heavy,1,5
Jaipur,Delhi,2023-05-30,Container,1495,Clear,Moderate,1,1
Delhi,Ahmedabad,2024-04-17,Lorry,1340,Clear,Light,0,0
Kolkata,Ahmedabad,2023-05-31,Trailer,364,Clear,Heavy,1,2
Kolkata,Ahmedabad,2023-12-04,Truck,1726,Fog,Moderate,1,3
Mumbai,Ahmedabad,2023-03-02,Truck,1172,Rain,Light,1,1
Hyderabad,Kolkata,2023-12-16,Lorry,501,Clear,Heavy,1,2
Jaipur,Hyderabad,2023-04-18,Lorry,1040,Clear,Heavy,1,2
Mumbai,Ahmedabad,2024-04-19,Trailer,1635,Fog,Light,1,5
Ahmedabad,Kolkata,2023-05-11,Truck,1259,Clear,Moderate,1,1
Lucknow,Ahmedabad,2024-03-20,Truck,779,Clear,Light,0,0
Ahmedabad,Mumbai,2023-07-20,Trailer,795,Clear,Moderate,1,6
Mumbai,Ahmedabad,2024-01-26,Lorry,215,Clear,Light,0,0
Hyderabad,Mumbai,2024-01-26,Container,719,Clear,Heavy,1,2
Chennai,Bangalore,2023-10-06,Lorry,1625,Clear,Light,0,0
Kolkata,Delhi,2023-07-14,Truck,1980,Clear,Heavy,1,5
Pune,Lucknow,2023-05-21,Trailer,1937,Clear,Light,1,2
Pune,Mumbai,2024-01-24,Truck,361,Clear,Moderate,1,1
Bangalore,Kolkata,2023-09-18,Trailer,1638,Clear,Moderate,1,1
Jaipur,Bangalore,2023-05-05,Trailer,1703,Clear,Light,0,0
Bangalore,Delhi,2023-02-11,Lorry,410,Clear,Light,0,0
Delhi,Bangalore,2024-03-22,Truck,321,Clear,Moderate,1,1
Ahmedabad,Hyderabad,2024-03-02,Lorry,953,Clear,Light,0,0
Mumbai,Hyderabad,2024-03-22,Container,1926,Clear,Moderate,1,1
Jaipur,Hyderabad,2023-03-09,Container,1313,Clear,Heavy,1,2
Mumbai,Ahmedabad,2023-06-15,Trailer,578,Clear,Light,1,2
Bangalore,Delhi,2024-02-21,Lorry,1073,Clear,Moderate,1,1
Hyderabad,Chennai,2024-01-13,Truck,1120,Clear,Light,0,0
Ahmedabad,Hyderabad,2023-12-15,Lorry,1771,Clear,Heavy,1,4
Jaipur,Pune,2023-07-04,Truck,656,Clear,Light,0,0
Pune,Hyderabad,2023-03-08,Container,1112,Clear,Moderate,1,5
Chennai,Hyderabad,2023-11-06,Container,1189,Clear,Light,0,0
Hyderabad,Mumbai,2024-04-29,Trailer,1610,Clear,Moderate,1,1
Lucknow,Chennai,2023-12-18,Lorry,1255,Fog,Light,1,2
Chennai,Ahmedabad,2024-05-08,Container,1101,Clear,Moderate,1,1
Mumbai,Kolkata,2023-07-29,Container,1334,Rain,Moderate,1,2
Chennai,Kolkata,2023-06-05,Lorry,1783,Rain,Light,1,1
Chennai,Pune,2023-04-23,Truck,603,Clear,Light,0,0
Bangalore,Kolkata,2023-10-28,Lorry,1275,Clear,Light,0,0
Chennai,Delhi,2024-04-26,Container,581,Clear,Light,0,0
Pune,Ahmedabad,2023-05-21,Container,1374,Clear,Light,1,3
Ahmedabad,Hyderabad,2023-10-29,Trailer,203,Fog,Heavy,1,7
Mumbai,Kolkata,2023-03-24,Container,476,Fog,Light,1,2
Hyderabad,Jaipur,2024-04-08,Truck,600,Clear,Light,0,0
Pune,Lucknow,2024-02-21,Lorry,1448,Clear,Light,1,5
Kolkata,Lucknow,2023-11-02,Truck,1430,Clear,Light,0,0
Pune,Lucknow,2023-07-21,Trailer,1568,Storm,Light,1,5
